Country,Continent,Animal fats,Cereals - Excluding Beer,Fish Seafood,Fruits - Excluding Wine,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Animal products total,Deaths
Afghanistan,Asia,6.2224,8.0353,0.0327,0.4246,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,28.3684,17.0831,0.3593,4.5,28.45,0.006185779
Albania,Europe,3.4172,2.6734,0.1445,0.6418,0.017,17.7576,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,17.9998,9.2443,0.6503,22.3,42.3878,0.050951374
Algeria,Africa,0.8972,4.2035,0.2008,0.5772,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,35.5857,27.3606,0.5145,26.6,19.5307,0.006558153
Angola,Africa,1.313,6.5545,1.4155,0.3488,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,34.701,22.4638,0.1231,6.8,26.4848,0.00146055
Antigua And Barbuda,North America,4.6686,3.2153,1.5263,1.2177,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,22.2995,14.4436,0.2469,19.1,42.4107,0.007142857
Argentina,South America,3.3076,1.3316,0.1664,0.2091,0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,19.6449,17.3147,0.1878,28.5,51.1971,0.108226635
Armenia,Asia,6.2619,2.5068,0.2218,0.5468,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,20.3384,12.8127,0.8717,20.9,42.1003,0.105345061
Australia,Oceania,4.603,0.9908,0.4515,0.4028,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,25.8901,20.3612,0.2144,30.4,36.4118,0.003529549
Austria,Europe,12.8517,1.2297,0.4259,0.2249,0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,22.1762,17.9323,0.2039,21.9,37.1514,0.089679156
Azerbaijan,Europe,7.7987,5.4481,0.2122,0.594,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,17.8802,7.1538,0.6534,19.9,46.1388,0.031222794
Bahamas,North America,4.56,3.6327,1.4991,0.8995,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.4532,19.7741,10.1659,0.3974,32.1,49.0029,0.044783715
Bangladesh,Asia,1.2369,6.9946,2.1646,0.427,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.2651,40.1561,29.6422,0.3092,3.4,12.9436,0.004823066
Barbados,North America,3.9733,2.1187,1.806,0.4636,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.7817,24.1576,15.6882,0.2534,24.8,40.1963,0.006271777
Belarus,Europe,7.8662,4.8075,0.5151,0.2316,0.0519,2.0644,0.2316,0.4392,0,0.016,0.1957,0.8385,1.0462,26.1859,18.2119,0.3394,26.6,36.9589,0.018912
Belgium,Europe,12.6234,1.3531,0.6188,0.2373,0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,1.2056,23.2622,19.3504,0.2982,24.5,33.5898,0.185427703
Belize,North America,9.8102,3.051,0.4155,0.3039,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.3845,26.2123,19.3538,0.2108,22.4,34.8071,0.073031026
Benin,Africa,0.4816,4.6952,0.8599,0.1978,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,43.8301,24.8775,0.3612,8.2,9.6655,0.000450487
Bolivia,South America,4.1685,2.7296,0.1831,0.5407,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,19.5779,12.3485,0.1919,18.7,53.0827,0.092435313
Bosnia And Herzegovina,Europe,2.4453,3.6588,0.3049,0.5976,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,25.3552,13.2996,0.7866,19.4,35.1789,0.145534898
Botswana,Africa,4.131,7.183,0.3622,0.1696,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,33.0328,22.3815,0.185,16.1,20.709,0.007034959
Brazil,South America,4.3627,1.1278,0.1886,0.2528,0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.1766,25.1445,21.2153,0.1204,22.3,39.9141,0.108602912
Bulgaria,Europe,8.0274,1.8485,0.3404,0.2723,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.3404,22.8518,17.5787,0.2461,27.4,37.718,0.134416053
Burkina Faso,Africa,0.5981,10.5524,0.3692,0.0443,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.2658,42.7706,19.1774,0.0665,4.5,11.2169,0.000641056
Cabo Verde,Africa,4.2923,5.1318,0.5256,0.1898,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.1752,28.0385,18.6656,0.3066,10.6,32.725,0.024280576
Cambodia,Asia,0.8839,9.4179,4.8461,0.2438,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.3048,31.149,11.2313,0.2591,3.5,31.1948,0
Cameroon,Africa,0.7838,6.9796,0.9051,0.7931,0.028,1.1197,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0.1026,43.6689,23.2155,0.5505,9.5,9.7695,0.001782089
Canada,North America,9.7895,1.544,0.4244,0.4244,0.062,3.8812,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,1.211,26.8353,20.4733,0.222,31.3,32.2311,0.054202671
Central African Republic,Africa,2.8767,2.7645,0.5509,0.4998,0.0102,1.7342,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,31.4598,19.4838,0.0918,6.3,31.5719,0.001304348
Chad,Africa,3.1261,7.986,0.648,0.0701,0.0088,4.4308,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,33.1436,7.5131,0.0263,4.8,24.7811,0.000740653
Chile,South America,5.2608,3.1847,0.5204,0.4186,0.0339,5.0798,0.0396,1.1596,0.2093,0.0283,0.181,0.4356,0.7241,17.4737,10.844,0.2602,28.8,54.1463,0.097046739
China,Asia,3.4468,2.5989,0.9817,0.2344,0.1517,2.2156,0.4784,1.8351,0.0234,0.0676,0.0565,0.9362,1.7979,18.9535,10.659,0.5763,6.6,54.9593,0.000343843
Colombia,South America,1.7819,1.7347,0.3717,1.2273,0.0177,5.9535,0.118,0.9854,0.1652,0.1239,0.2832,0.2655,0.5251,28.5992,23.0824,0.1829,22.1,34.5823,0.112638541
Congo,Africa,0.339,2.7016,1.854,0.837,0.053,0.678,0.339,5.0429,0.1483,0.0106,1.0806,0.5191,0.0212,36.9954,26.0091,0.5827,8.4,22.7884,0.014516129
Costa Rica,South America,6.1,1.6733,0.9286,0.57,0.0138,6.67,0.0552,1.0389,0.2436,0.0414,0.0506,0.4045,0.354,29.4475,24.8736,0.1701,25.7,27.3512,0.052279397
Cote Divoire,Africa,0.2726,4.9709,1.2268,0.5271,0.0091,0.5634,0.2545,4.8891,0.1,0.6089,1.2359,1.9357,2.3355,44.6747,27.7354,0.3272,9,8.3333,0.000618911
Croatia,Europe,7.4457,2.9565,0.5633,0.2577,0,8.7951,0.131,1.8123,0.0175,0.0655,0.0393,2.6726,0.6987,20.6254,11.7123,0.393,27.1,41.814,0.127960199
Cuba,South America,3.2213,4.4779,0.2638,0.6179,0.0139,4.7695,0.1458,2.6937,0.6248,0.0417,0.3749,0.1458,0.0069,24.0975,14.5446,0.5554,26.7,43.4046,0.00206542
Cyprus,Europe,1.8698,3.4616,0.7309,0.3632,0.1614,6.6945,0.1031,2.1164,0.0628,0.0538,0.0404,1.9236,0.8609,29.0467,19.7381,0.2601,22.6,32.5128,0.017481359
Czechia,Europe,9.7011,1.1998,0.3,0.187,0.0212,5.6463,0.0776,0.4941,0.0353,0.0635,0.0565,0.9563,0.4164,24.8333,21.2267,0.1729,28.5,34.6119,0.159845091
Denmark,Europe,14.2498,1.4741,1.1313,0.5257,0,8.8142,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,1.1846,14.585,8.4752,0.2819,21.3,46.4023,0.038016812
Djibouti,Africa,1.3966,4.3977,0.291,0.1247,0.1413,3.8573,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0.4157,38.8977,31.449,0.4572,12.2,16.4769,0.006376518
Dominica,North America,3.8063,1.4913,1.6536,1.1856,0.1123,7.232,0.1373,4.8172,0.1373,0.468,0.4867,1.7846,0.0312,23.0812,12.3237,0.2309,28.2,41.0208,0
Dominican Republic,North America,2.2261,1.4528,0.2484,3.6133,0.0422,4.1194,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0.0703,34.7221,25.8881,0.1218,26.9,23.7745,0.02667619
Ecuador,South America,4.7198,3.6672,0.2519,0.4367,0.028,6.0803,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0.0784,29.0745,23.5541,0.084,19.3,30.6982,0.085683285
Egypt,Africa,3.4231,13.4988,1.32,0.7216,0.0088,3.6343,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.2992,34.0109,13.6132,0.66,31.1,23.3105,0.009527494
El Salvador,South America,6.3901,8.1958,0.4514,1.4321,0.1012,8.1491,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0.1167,26.6968,10.2506,0.4514,22.7,31.5613,0.025813918
Estonia,Europe,6.5339,2.8982,0.2818,0.3805,0.0188,14.275,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,1.2495,16.7833,8.4457,0.2865,23.8,45.2299,0.034259955
Eswatini,Africa,3.1415,12.0023,0.3682,0.4718,0.1151,5.4315,0.2762,3.4062,0.2071,0.817,0.3222,0.0575,0.6559,29.1945,10.9436,0.1956,13.5,32.3935,0.054710145
Ethiopia,Africa,1.4358,11.3929,0.0559,0.4102,0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.7459,38.8216,17.4156,0.1305,3.6,15.5697,0.001866581
Fiji,North America,7.6883,1.5114,1.4694,0.084,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.1469,29.9554,17.8168,0.1732,30,29.0475,0.000223214
Finland,Europe,6.3787,1.7872,0.9384,0.2901,0.1146,11.8155,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.5157,13.2732,8.8607,0.2041,24.9,54.2423,0.01244348
France,Europe,9.1996,1.4334,0.8752,0.3869,0.0159,7.9533,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.853,19.7406,15.4658,0.1776,23.2,42.3352,0.121558362
French Polynesia,Oceania,4.6648,3.7271,1.5842,0.1995,0.2913,3.8827,0.1277,4.7566,0.0399,0.02,0.0758,1.269,0.3192,24.8404,14.0024,0.1397,,40.0598,
Gabon,Africa,0.7379,4.1074,2.0359,0.6401,0.1422,2.2937,0.5957,8.9438,0.0089,0,0.5779,0.7112,0.0178,30.7344,15.3805,0.2045,13.4,32.868,0.003182429
Gambia,Africa,0.2548,4.9416,1.3488,0.0373,0.0622,2.8468,0.0311,12.4751,0.0311,0,0.0124,0.0995,0.2362,43.9582,25.9883,0.0746,8.7,7.6019,0.005544063
Georgia,Europe,7.2612,4.5695,0.4284,0.2071,0.1071,9.0818,0.1,0.6854,0,0.0714,0.0928,2.7774,1.1566,24.718,14.8579,0.1999,23.3,33.6856,0.087994616
Germany,Europe,11.0084,1.1778,0.7019,0.2632,0,6.4289,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,1.6739,21.8581,16.8163,0.216,25.7,38.1008,0.073890756
Ghana,Africa,0.806,5.6789,2.7774,1.2151,0.0496,0.4216,0.1736,10.9113,0.3968,1.2771,2.0087,0,0.0868,42.3063,20.4464,0.248,9.7,11.1965,0.001444984
Greece,Europe,1.6989,1.328,0.3245,0.2484,0.0298,8.3355,0.1424,1.8413,0.0795,0.0497,0.0431,0.7749,1.881,32.097,25.5332,0.2848,27.4,25.3079,0.055616822
Grenada,North America,2.4889,1.4883,1.2856,2.8436,0.1267,4.8195,0.0823,3.3186,0.19,0.8803,0.0697,0.874,0.1393,26.9158,16.8841,0.1077,20.2,37.4858,0.000884956
Guatemala,South America,1.7622,9.3956,0.1482,1.2516,0.0247,3.7385,0.0988,3.7879,0.5764,0.1235,0.0247,0.3788,0.9305,34.5603,17.8113,0.2553,18.8,25.1318,0.03240341
Guinea,Africa,0.7557,4.7086,0.5014,0.3415,0.0363,1.4896,0.1163,6.6633,0.1744,0,0.3343,0.2616,0.0073,43.9253,30.6133,0.7848,6.6,9.2865,0.00066879
Guineabissau,Africa,0.6274,2.8828,0.0715,0.2938,0.0556,1.8027,0.1271,1.7154,0.0794,0,0.1985,0.2224,3.3116,39.1677,30.3288,0.0794,8.2,19.0359,0.00238713
Guyana,North America,1.002,2.9072,1.169,1.503,0.0911,7.6287,0.0531,9.3518,0.3871,0.8653,0.129,0.9261,0.8805,27.2582,9.0633,1.1538,19.2,35.6308,0.022871665
Haiti,North America,1.7481,5.7517,0.3722,1.6804,0.0564,1.8608,0.1353,3.3157,0.8458,0,0.5526,0.3609,0,37.8482,25.1494,0.1241,20.5,20.1759,0.002148557
Honduras,North America,2.6611,8.3159,0.1302,0.376,0.0651,5.2281,0.0868,0.5857,0.4194,0.0289,0.0217,0.3833,0.1012,33.2924,22.8722,0.1157,19.4,25.3164,0.037611517
Hungary,Europe,12.3082,1.2735,0.1954,0.127,0,5.2308,0.0033,0.3583,0.0391,0.1107,0.0391,0.7393,0.0456,21.0012,18.0699,0.2019,28.6,40.2566,0.133367462
Iceland,Europe,7.1086,4.3005,1.6872,0.4975,0.1199,11.0046,0.1349,0.8931,0.012,0.1079,0.03,1.5254,0.5005,15.5628,7.4053,0.1678,23.1,48.9422,0.007880435
India,Asia,7.4859,5.1196,0.3783,0.4046,0,6.4919,0.0264,3.7386,1.1084,0.8005,0.0792,0.0176,0.5014,33.9462,21.7804,0.3958,3.8,17.7252,0.011070352
Indonesia,Asia,0.7049,6.6871,2.5122,0.7139,0,0.7049,0.1627,7.3649,0.0452,0.3886,0.3072,0.497,0.3976,40.8368,24.0918,0.2711,6.9,14.2508,0.01155263
Iran Islamic Republic Of,Asia,6.0372,5.5867,0.6114,0.6243,0,2.6389,0.1416,0.4055,0.2961,0.2124,0.1738,0.0451,4.9044,33.0759,20.2935,0.5278,25.5,24.4256,0.069414141
Iraq,Asia,3.8118,6.2761,0.1441,0.2306,0.0432,1.7366,0.0288,0.9584,0.1369,0.0576,0.0288,0.7278,0.6341,38.8673,29.6152,0.1513,27.4,16.5514,0.033004405
Ireland,Europe,8.6472,2.7091,0.9372,0.2829,0.0283,6.5464,0.0707,0.863,0.0389,0.0707,0.0531,1.5137,0.8417,22.8329,16.1839,0.2405,26.9,38.1397,0.073435938
Israel,Asia,1.2809,1.6083,0.5746,1.6051,0.0257,4.8443,0.0867,3.0787,0.1605,0.061,0.0353,0.8315,1.3194,34.1862,25.1782,0.2857,26.7,24.8379,0.055023872
Italy,Europe,5.3931,1.3598,0.7327,0.2541,0.0198,5.9146,0.0627,0.4753,0.0858,0.0099,0.0297,0.1056,1.4324,28.1306,24.127,0.2277,22.9,31.639,0.150927093
Jamaica,North America,6.1721,2.2375,1.2204,0.4322,0.1081,5.7081,0.1462,3.4389,0.089,1.4302,0.2161,0.3496,0.1398,26.9133,18.1732,0.2924,24.4,32.9265,0.012709149
Japan,Asia,1.9098,1.8642,3.2666,0.1881,0.0285,3.2096,0.1026,2.9816,0.0342,0.1425,0.0513,0.8266,0.6499,30.5456,23.4308,0.3478,4.4,30.4088,0.005059262
Jordan,Europe,1.8696,3.7391,0.3189,0.198,0.0385,3.6512,0.088,2.5074,0.2584,0.1155,0.055,0.5994,0.9018,37.7378,29.0553,0.2694,33.4,18.5968,0.04091207
Kazakhstan,Asia,3.0343,1.7405,0.1321,0.1787,0.0389,9.5031,0.1748,0.6488,0.0078,0.0272,0.1088,0.9946,0.7654,26.5822,21.7258,0.3497,21.3,33.9873,0.016650651
Kenya,Africa,1.8742,9.9701,0.2773,1.0757,0,8.4951,0.1885,1.6746,0.8429,0.0555,0.2551,0.0665,0.5989,32.2724,17.5003,0.2107,6,24.6424,0.00331789
Kiribati,Oceania,0.7467,1.956,3.0833,0.3517,0.0434,0.2553,0.0193,28.5639,0,0.0145,0.2409,0.0193,0.8094,39.4325,7.2939,0.1397,45.6,17.0304,
"Korea11470901691105375871790013104195009180983206555003146000262385162759571035778658000000000001Na
Korea",Asia,20.0483,0.0511,1.3524,1.9147,11.186,0,1.1386,0.1534,1.8914,0.0186,0.0372,0.0325,0,1.2036,29.9563,23.7197,0.6924,2.1145,0.156227188
Kuwait,Asia,2.1588,3.0847,0.3732,0.3496,0.1086,5.2766,0.189,1.3416,0.1984,0.5385,0.0472,1.5353,1.181,30.1101,21.215,0.5055,37,31.7871,0.020549989
